Date,daily runoff
2019-01-01,0.3361749
2019-01-02,0.3525906
2019-01-03,0.35121787
2019-01-04,0.36523956
2019-01-05,0.37426075
2019-01-06,0.37136275
2019-01-07,0.38144603
2019-01-08,0.37101126
2019-01-09,0.38521734
2019-01-10,0.38264847
2019-01-11,0.39641324
2019-01-12,0.40600738
2019-01-13,0.40437195
2019-01-14,0.41624188
2019-01-15,0.4079327
2019-01-16,0.4244055
2019-01-17,0.4240414
2019-01-18,0.43974787
2019-01-19,0.450829
2019-01-20,0.45005068
2019-01-21,0.4619958
2019-01-22,0.45285636
2019-01-23,0.46750388
2019-01-24,0.4642669
2019-01-25,0.47604
2019-01-26,0.48215523
2019-01-27,0.4754467
2019-01-28,0.48060414
2019-01-29,0.4639622
2019-01-30,0.47056612
2019-01-31,0.4589441
2019-02-01,0.46221018
2019-02-02,0.4599278
2019-02-03,0.44516757
2019-02-04,0.4428527
2019-02-05,0.41954008
2019-02-06,0.4204788
2019-02-07,0.40437505
2019-02-08,0.40448856
2019-02-09,0.40049112
2019-02-10,0.3855197
2019-02-11,0.38451874
2019-02-12,0.36402008
2019-02-13,0.36920103
2019-02-14,0.3586509
2019-02-15,0.36546996
2019-02-16,0.36913252
2019-02-17,0.3625455
2019-02-18,0.37039736
2019-02-19,0.3589457
2019-02-20,0.3730835
2019-02-21,0.37111452
2019-02-22,0.385861
2019-02-23,0.3965358
2019-02-24,0.39580905
2019-02-25,0.4081651
2019-02-26,0.399697
2019-02-27,0.41517836
2019-02-28,0.41284317
2019-03-01,0.42549667
2019-03-02,0.43238837
2019-03-03,0.42627913
2019-03-04,0.43179554
2019-03-05,0.41522107
2019-03-06,0.42156288
2019-03-07,0.40932503
2019-03-08,0.4116118
2019-03-09,0.40799204
2019-03-10,0.39155644
2019-03-11,0.38726252
2019-03-12,0.3617154
2019-03-13,0.36022487
2019-03-14,0.34156907
2019-03-15,0.33908898
2019-03-16,0.33254522
2019-03-17,0.31516877
2019-03-18,0.31200093
2019-03-19,0.28967083
2019-03-20,0.2934507
2019-03-21,0.28201997
2019-03-22,0.2885616
2019-03-23,0.29262286
2019-03-24,0.28717142
2019-03-25,0.29694262
2019-03-26,0.28822514
2019-03-27,0.3059261
2019-03-28,0.30834532
2019-03-29,0.32828268
2019-03-30,0.34491012
2019-03-31,0.35083878
2019-04-01,0.37047672
2019-04-02,0.3698246
2019-04-03,0.3935495
2019-04-04,0.39976674
2019-04-05,0.42115307
2019-04-06,0.43682277
2019-04-07,0.4393972
2019-04-08,0.45336258
2019-04-09,0.44486433
2019-04-10,0.45877683
2019-04-11,0.4534798
2019-04-12,0.46196446
2019-04-13,0.46370038
2019-04-14,0.45169526
2019-04-15,0.45084172
2019-04-16,0.42769954
2019-04-17,0.4275537
2019-04-18,0.4091785
2019-04-19,0.40593207
2019-04-20,0.39761248
2019-04-21,0.37750733
2019-04-22,0.3707323
2019-04-23,0.3440062
2019-04-24,0.34270406
2019-04-25,0.32561824
2019-04-26,0.32605177
2019-04-27,0.32367572
2019-04-28,0.31158212
2019-04-29,0.3146275
2019-04-30,0.29921567
2019-05-01,0.31035936
2019-05-02,0.30645174
2019-05-03,0.32037148
2019-05-04,0.3313523
2019-05-05,0.3320488
2019-05-06,0.34689292
2019-05-07,0.34188935
2019-05-08,0.36168915
2019-05-09,0.36437228
2019-05-10,0.38256225
2019-05-11,0.39530367
2019-05-12,0.3951343
2019-05-13,0.40644544
2019-05-14,0.3952793
2019-05-15,0.40640208
2019-05-16,0.398084
2019-05-17,0.403209
2019-05-18,0.40114516
2019-05-19,0.38480806
2019-05-20,0.37901068
2019-05-21,0.35024878
2019-05-22,0.34376127
2019-05-23,0.31829676
2019-05-24,0.3072092
2019-05-25,0.29031527
2019-05-26,0.26094422
2019-05-27,0.24427572
