Date,Discharge
2019-01-01,722.7019
2019-01-02,682.3666
2019-01-03,692.61475
2019-01-04,654.752
2019-01-05,633.6695
2019-01-06,648.1862
2019-01-07,625.9642
2019-01-08,661.7145
2019-01-09,626.5987
2019-01-10,638.59534
2019-01-11,599.2633
2019-01-12,573.86053
2019-01-13,581.6742
2019-01-14,550.9182
2019-01-15,576.91986
2019-01-16,531.4998
2019-01-17,533.3148
2019-01-18,484.59735
2019-01-19,451.25092
2019-01-20,453.15643
2019-01-21,419.04922
2019-01-22,444.68658
2019-01-23,402.2116
2019-01-24,410.484
2019-01-25,371.81125
2019-01-26,352.03958
2019-01-27,370.8611
2019-01-28,356.6954
2019-01-29,404.86603
2019-01-30,386.97772
2019-01-31,421.26373
2019-02-01,409.33682
2019-02-02,416.3029
2019-02-03,461.09164
2019-02-04,471.36362
2019-02-05,541.7119
2019-02-06,543.06396
2019-02-07,593.05194
2019-02-08,592.7853
2019-02-09,606.98145
2019-02-10,654.31226
2019-02-11,662.3208
2019-02-12,725.6296
2019-02-13,715.34375
2019-02-14,749.41864
2019-02-15,729.42377
2019-02-16,720.66223
2019-02-17,742.49927
2019-02-18,723.26025
2019-02-19,758.4147
2019-02-20,719.95447
2019-02-21,726.73364
2019-02-22,681.2049
2019-02-23,649.5108
2019-02-24,651.78577
2019-02-25,617.0288
2019-02-26,641.26526
2019-02-27,596.9056
2019-02-28,603.071
2019-03-01,562.3183
2019-03-02,540.7264
2019-03-03,558.1974
2019-03-04,543.3335
2019-03-05,591.6094
2019-03-06,574.74536
2019-03-07,611.0516
2019-03-08,602.1766
2019-03-09,613.2198
2019-03-10,663.0618
2019-03-11,679.27155
2019-03-12,756.3099
2019-03-13,764.93414
2019-03-14,822.5719
2019-03-15,830.0982
2019-03-16,851.9721
2019-03-17,906.5888
2019-03-18,921.20374
2019-03-19,990.1479
2019-03-20,984.23914
2019-03-21,1021.1569
2019-03-22,1002.21484
2019-03-23,992.4868
2019-03-24,1011.1434
2019-03-25,986.3554
2019-03-26,1013.48444
2019-03-27,964.46484
2019-03-28,958.14746
2019-03-29,897.0383
2019-03-30,847.39044
2019-03-31,829.5058
2019-04-01,772.60547
2019-04-02,772.9885
2019-04-03,703.38617
2019-04-04,683.281
2019-04-05,615.6253
2019-04-06,566.91895
2019-04-07,557.5023
2019-04-08,516.4233
2019-04-09,539.6001
2019-04-10,499.1844
2019-04-11,513.89594
