Date,weekly runoff
2019-01-01,2.317408
2019-01-02,2.3884323
2019-01-03,2.4485192
2019-01-04,2.5013847
2019-01-05,2.5483959
2019-01-06,2.590039
2019-01-07,2.6274002
2019-01-08,2.6641827
2019-01-09,2.7000508
2019-01-10,2.7314904
2019-01-11,2.7624867
2019-01-12,2.7944152
2019-01-13,2.8275137
2019-01-14,2.8623729
2019-01-15,2.9019718
2019-01-16,2.9450533
2019-01-17,2.9870157
2019-01-18,3.0306318
2019-01-19,3.0759847
2019-01-20,3.121987
2019-01-21,3.1679206
2019-01-22,3.2155201
2019-01-23,3.2623937
2019-01-24,3.3029585
2019-01-25,3.339197
2019-01-26,3.370623
2019-01-27,3.3958263
2019-01-28,3.4140248
2019-01-29,3.4271584
2019-01-30,3.4333029
2019-01-31,3.4275978
2019-02-01,3.412979
2019-02-02,3.3901188
2019-02-03,3.3589313
2019-02-04,3.320086
2019-02-05,3.277052
2019-02-06,3.2294636
2019-02-07,3.173995
2019-02-08,3.1150422
2019-02-09,3.0546112
2019-02-10,2.9937785
2019-02-11,2.934161
2019-02-12,2.8799262
2019-02-13,2.8311298
2019-02-14,2.7845695
2019-02-15,2.744458
2019-02-16,2.712311
2019-02-17,2.6884172
2019-02-18,2.6733267
2019-02-19,2.669891
2019-02-20,2.6766362
2019-02-21,2.6886618
2019-02-22,2.708364
2019-02-23,2.7353778
2019-02-24,2.7681053
2019-02-25,2.8052638
2019-02-26,2.8479815
2019-02-27,2.893227
2019-02-28,2.9347618
2019-03-01,2.9739034
2019-03-02,3.009511
2019-03-03,3.0395372
2019-03-04,3.0625994
2019-03-05,3.0800807
2019-03-06,3.0895612
2019-03-07,3.0857518
2019-03-08,3.071239
2019-03-09,3.0464325
2019-03-10,3.0110772
2019-03-11,2.9657695
2019-03-12,2.9140048
2019-03-13,2.8555427
2019-03-14,2.787279
2019-03-15,2.713921
2019-03-16,2.637872
2019-03-17,2.5606792
2019-03-18,2.484494
2019-03-19,2.4140675
2019-03-20,2.3500748
2019-03-21,2.289952
2019-03-22,2.2385528
2019-03-23,2.198019
2019-03-24,2.1692326
2019-03-25,2.1532896
2019-03-26,2.15352
2019-03-27,2.1688504
2019-03-28,2.1946864
2019-03-29,2.2336261
2019-03-30,2.2853947
2019-03-31,2.348363
2019-04-01,2.4210956
2019-04-02,2.5044441
2019-04-03,2.5949814
2019-04-04,2.6859567
2019-04-05,2.778071
2019-04-06,2.8694708
2019-04-07,2.9573166
2019-04-08,3.0393684
2019-04-09,3.116107
2019-04-10,3.1841826
2019-04-11,3.23737
2019-04-12,3.2773356
2019-04-13,3.3036034
2019-04-14,3.315089
2019-04-15,3.311635
2019-04-16,3.2960742
2019-04-17,3.2676127
2019-04-18,3.2227108
2019-04-19,3.1657724
2019-04-20,3.0990326
2019-04-21,3.0240092
2019-04-22,2.9429648
2019-04-23,2.8608959
2019-04-24,2.7788496
2019-04-25,2.694752
2019-04-26,2.614049
2019-04-27,2.5395615
2019-04-28,2.4729176
2019-04-29,2.416007
2019-04-30,2.3729787
2019-05-01,2.3435805
2019-05-02,2.3240216
2019-05-03,2.3176606
2019-05-04,2.3249216
2019-05-05,2.3447948
2019-05-06,2.3763657
2019-05-07,2.4208965
2019-05-08,2.475249
2019-05-09,2.5328321
2019-05-10,2.5943747
2019-05-11,2.657921
2019-05-12,2.7204
2019-05-13,2.7792237
2019-05-14,2.8344157
2019-05-15,2.8820772
2019-05-16,2.9153614
2019-05-17,2.935257
2019-05-18,2.94058
2019-05-19,2.9295278
2019-05-20,2.9012413
2019-05-21,2.8578906
2019-05-22,2.798081
2019-05-23,2.7177556
2019-05-24,2.6209044
2019-05-25,2.5094688
2019-05-26,2.3848064
2019-05-27,2.2491639
2019-05-28,2.1076713
2019-05-29,1.9616618
2019-05-30,1.8094975
2019-05-31,1.6572027
2019-06-01,1.5083103
2019-06-02,1.3652785
2019-06-03,1.2309265
2019-06-04,1.1104128
2019-06-05,1.0045494
2019-06-06,0.91063863
2019-06-07,0.83313626
