Date,Discharge
2019-01-01,405.55173
2019-01-02,395.9921
2019-01-03,384.46402
2019-01-04,379.88055
2019-01-05,384.40625
2019-01-06,385.64786
2019-01-07,390.1346
2019-01-08,395.9939
2019-01-09,393.1757
2019-01-10,388.7264
2019-01-11,391.40695
2019-01-12,403.21597
2019-01-13,411.58502
2019-01-14,422.86343
2019-01-15,434.99936
2019-01-16,437.7691
2019-01-17,438.0564
2019-01-18,444.47525
2019-01-19,458.89825
2019-01-20,468.65567
2019-01-21,480.02383
2019-01-22,490.90918
2019-01-23,491.0794
2019-01-24,487.4437
2019-01-25,488.67566
2019-01-26,496.74063
2019-01-27,499.0925
2019-01-28,502.15985
2019-01-29,504.02542
2019-01-30,494.65308
2019-01-31,481.16312
2019-02-01,472.44913
2019-02-02,470.69946
2019-02-03,463.58817
2019-02-04,457.75482
2019-02-05,451.47836
2019-02-06,434.8987
2019-02-07,415.2871
2019-02-08,401.6591
2019-02-09,396.29266
2019-02-10,386.91702
2019-02-11,380.1911
2019-02-12,374.37735
2019-02-13,359.56433
2019-02-14,342.93884
2019-02-15,333.402
2019-02-16,333.09125
2019-02-17,329.5737
2019-02-18,329.3299
2019-02-19,330.43347
2019-02-20,322.77945
2019-02-21,313.36276
2019-02-22,310.90012
2019-02-23,317.3576
2019-02-24,320.1496
2019-02-25,325.62665
2019-02-26,331.7591
2019-02-27,328.36813
2019-02-28,322.40628
2019-03-01,322.5797
2019-03-02,330.87592
2019-03-03,334.7608
2019-03-04,340.6643
2019-03-05,346.66046
2019-03-06,342.69458
2019-03-07,335.85806
2019-03-08,335.0059
2019-03-09,342.27814
2019-03-10,345.29105
2019-03-11,350.61673
2019-03-12,356.4578
2019-03-13,352.86868
2019-03-14,347.0266
2019-03-15,347.84497
2019-03-16,357.4917
2019-03-17,363.57913
2019-03-18,372.64285
2019-03-19,382.81662
2019-03-20,384.05582
2019-03-21,383.41092
2019-03-22,389.6449
2019-03-23,404.7567
2019-03-24,416.17615
2019-03-25,430.24973
2019-03-26,444.92154
2019-03-27,449.96417
2019-03-28,452.25858
2019-03-29,460.41833
2019-03-30,476.31882
2019-03-31,487.298
2019-04-01,499.646
2019-04-02,511.29
2019-04-03,512.0268
2019-04-04,508.80374
2019-04-05,510.34213
2019-04-06,518.6647
2019-04-07,521.29266
2019-04-08,524.73096
2019-04-09,527.147
2019-04-10,518.5961
2019-04-11,506.29535
2019-04-12,499.2379
2019-04-13,499.71234
2019-04-14,495.49045
2019-04-15,493.3042
2019-04-16,491.51636
2019-04-17,480.33868
2019-04-18,467.0991
2019-04-19,460.85144
2019-04-20,463.89087
2019-04-21,463.94
2019-04-22,467.62518
2019-04-23,473.14896
2019-04-24,470.5114
2019-04-25,466.78256
2019-04-26,470.7185
2019-04-27,484.28516
2019-04-28,494.85376
2019-04-29,508.68756
2019-04-30,523.62524
2019-05-01,529.3143
2019-05-02,532.49396
2019-05-03,541.6237
2019-05-04,558.41675
2019-05-05,570.0455
2019-05-06,582.63586
2019-05-07,593.9582
2019-05-08,593.6641
2019-05-09,588.57294
2019-05-10,587.30005
2019-05-11,591.78815
2019-05-12,589.50885
