Date,weekly runoff
2019-01-01,3.2917871
2019-01-02,3.2568436
2019-01-03,3.23214
2019-01-04,3.2101622
2019-01-05,3.193816
2019-01-06,3.1842167
2019-01-07,3.181781
2019-01-08,3.187285
2019-01-09,3.1967862
2019-01-10,3.2199547
2019-01-11,3.2485673
2019-01-12,3.2846818
2019-01-13,3.3284433
2019-01-14,3.3791955
2019-01-15,3.4365642
2019-01-16,3.4954088
2019-01-17,3.5641837
2019-01-18,3.6334689
2019-01-19,3.7041786
2019-01-20,3.7754025
2019-01-21,3.8455517
2019-01-22,3.9134731
2019-01-23,3.97343
2019-01-24,4.033487
2019-01-25,4.0840564
2019-01-26,4.126125
2019-01-27,4.1590943
2019-01-28,4.1819286
2019-01-29,4.1942616
2019-01-30,4.191359
2019-01-31,4.182484
2019-02-01,4.1594152
2019-02-02,4.1246367
2019-02-03,4.079145
2019-02-04,4.0235553
2019-02-05,3.9591599
2019-02-06,3.882854
2019-02-07,3.8054516
2019-02-08,3.720165
2019-02-09,3.6307547
2019-02-10,3.539303
2019-02-11,3.4472885
2019-02-12,3.3566263
2019-02-13,3.2645736
2019-02-14,3.1820407
2019-02-15,3.1020682
2019-02-16,3.027985
2019-02-17,2.961198
2019-02-18,2.9022884
2019-02-19,2.8520806
2019-02-20,2.8065827
2019-02-21,2.7753375
2019-02-22,2.7499423
2019-02-23,2.7322505
2019-02-24,2.7222075
2019-02-25,2.718992
2019-02-26,2.7221265
2019-02-27,2.7264569
2019-02-28,2.7405374
2019-03-01,2.755177
2019-03-02,2.7716653
2019-03-03,2.78962
2019-03-04,2.8081331
2019-03-05,2.8268812
2019-03-06,2.8410935
2019-03-07,2.8599172
2019-03-08,2.8749413
2019-03-09,2.8883884
2019-03-10,2.9009244
2019-03-11,2.912767
2019-03-12,2.9247487
2019-03-13,2.9332407
2019-03-14,2.9484751
2019-03-15,2.963023
2019-03-16,2.9799488
2019-03-17,3.0005848
2019-03-18,3.025609
2019-03-19,3.0560887
2019-03-20,3.088388
2019-03-21,3.132486
2019-03-22,3.180458
2019-03-23,3.2346401
2019-03-24,3.2954268
2019-03-25,3.362375
2019-03-26,3.435284
2019-03-27,3.5091465
2019-03-28,3.5925097
2019-03-29,3.6760094
2019-03-30,3.7605846
2019-03-31,3.8453252
2019-04-01,3.928629
2019-04-02,4.0093236
2019-04-03,4.081661
2019-04-04,4.153712
2019-04-05,4.2159247
2019-04-06,4.269361
2019-04-07,4.3135467
2019-04-08,4.347626
2019-04-09,4.371475
2019-04-10,4.380666
2019-04-11,4.3848305
2019-04-12,4.376178
2019-04-13,4.357677
2019-04-14,4.3308516
2019-04-15,4.296876
2019-04-16,4.257617
2019-04-17,4.21054
2019-04-18,4.1670055
2019-04-19,4.1207285
2019-04-20,4.0759
2019-04-21,4.0349436
2019-04-22,3.9995635
2019-04-23,3.9717658
2019-04-24,3.948744
2019-04-25,3.9411747
2019-04-26,3.9416823
2019-04-27,3.9529908
2019-04-28,3.9757094
2019-04-29,4.0094323
2019-04-30,4.0538173
2019-05-01,4.10354
2019-05-02,4.1666665
2019-05-03,4.2331986
2019-05-04,4.303309
2019-05-05,4.375213
2019-05-06,4.4463515
2019-05-07,4.5145454
2019-05-08,4.573022
2019-05-09,4.628845
2019-05-10,4.6715126
2019-05-11,4.7012234
2019-05-12,4.716769
2019-05-13,4.7167172
2019-05-14,4.700554
2019-05-15,4.6636753
2019-05-16,4.6157722
2019-05-17,4.5493565
2019-05-18,4.467957
2019-05-19,4.37391
2019-05-20,4.2694488
2019-05-21,4.1577315
2019-05-22,4.037721
2019-05-23,3.922452
2019-05-24,3.8074505
2019-05-25,3.6988163
2019-05-26,3.6009238
2019-05-27,3.5174198
2019-05-28,3.4521875
2019-05-29,3.4041734
2019-05-30,3.3856256
2019-05-31,3.3905041
2019-06-01,3.4225779
2019-06-02,3.483165
2019-06-03,3.5721927
2019-06-04,3.6892447
2019-06-05,3.828495
2019-06-06,3.9970682
2019-06-07,4.1835904
2019-06-08,4.3864393
2019-06-09,4.601643
2019-06-10,4.824108
2019-06-11,5.0488276
2019-06-12,5.2659783
2019-06-13,5.4794307
2019-06-14,5.6754355
2019-06-15,5.850991
2019-06-16,6.001841
2019-06-17,6.1237674
2019-06-18,6.2138443
2019-06-19,6.2655416
2019-06-20,6.287213
2019-06-21,6.2707267
2019-06-22,6.219745
2019-06-23,6.137601
2019-06-24,6.028437
2019-06-25,5.898287
2019-06-26,5.7499714
2019-06-27,5.6013713
2019-06-28,5.4538193
2019-06-29,5.3201356
2019-06-30,5.2122583
2019-07-01,5.1421394
2019-07-02,5.122588
2019-07-03,5.161951
2019-07-04,5.282184
2019-07-05,5.4870734
2019-07-06,5.790132
2019-07-07,6.2021255
2019-07-08,6.731904
2019-07-09,7.387226
2019-07-10,8.169457
2019-07-11,9.091712
2019-07-12,10.147187
2019-07-13,11.33721
2019-07-14,12.65896
2019-07-15,14.10654
2019-07-16,15.672046
2019-07-17,17.34058
2019-07-18,19.108692
2019-07-19,20.953037
2019-07-20,22.858772
2019-07-21,24.8076
2019-07-22,26.779165
2019-07-23,28.752455
2019-07-24,30.701082
2019-07-25,32.61199
2019-07-26,34.454365
2019-07-27,36.208164
2019-07-28,37.852364
2019-07-29,39.366405
2019-07-30,40.73165
2019-07-31,41.926662
2019-08-01,42.94584
2019-08-02,43.768215
2019-08-03,44.385826
2019-08-04,44.791748
2019-08-05,44.981304
2019-08-06,44.953224
2019-08-07,44.704597
2019-08-08,44.249195
2019-08-09,43.58588
2019-08-10,42.72666
2019-08-11,41.684315
2019-08-12,40.47325
2019-08-13,39.110336
2019-08-14,37.609524
2019-08-15,35.999897
2019-08-16,34.29378
2019-08-17,32.514626
2019-08-18,30.684408
2019-08-19,28.824413
2019-08-20,26.955948
2019-08-21,25.094965
2019-08-22,23.270092
2019-08-23,21.49086
2019-08-24,19.775665
2019-08-25,18.139345
2019-08-26,16.594156
2019-08-27,15.150716
2019-08-28,13.812879
2019-08-29,12.596053
2019-08-30,11.495726
2019-08-31,10.515706
2019-09-01,9.656033
2019-09-02,8.91422
2019-09-03,8.2865095
2019-09-04,7.7629967
2019-09-05,7.3461967
2019-09-06,7.0197835
2019-09-07,6.7770157
2019-09-08,6.608794
2019-09-09,6.505019
2019-09-10,6.4559073
2019-09-11,6.44716
2019-09-12,6.478521
2019-09-13,6.5324745
2019-09-14,6.602599
2019-09-15,6.6815157
2019-09-16,6.762114
2019-09-17,6.8387165
2019-09-18,6.90207
2019-09-19,6.9577208
2019-09-20,6.994517
2019-09-21,7.012766
2019-09-22,7.0119896
2019-09-23,6.9919662
2019-09-24,6.953713
2019-09-25,6.8943253
2019-09-26,6.8252068
2019-09-27,6.7404532
2019-09-28,6.6449165
2019-09-29,6.5418873
2019-09-30,6.4340916
2019-10-01,6.3246574
2019-10-02,6.2119555
2019-10-03,6.1078606
2019-10-04,6.0061865
2019-10-05,5.9108143
2019-10-06,5.8234673
2019-10-07,5.7448
2019-10-08,5.675474
2019-10-09,5.6111126
2019-10-10,5.560676
2019-10-11,5.5150084
2019-10-12,5.475083
2019-10-13,5.439868
2019-10-14,5.407517
2019-10-15,5.3765163
2019-10-16,5.3407087
2019-10-17,5.307714
2019-10-18,5.267512
2019-10-19,5.2206974
2019-10-20,5.166351
2019-10-21,5.103205
2019-10-22,5.030768
2019-10-23,4.9442935
2019-10-24,4.8531528
2019-10-25,4.749346
2019-10-26,4.635687
2019-10-27,4.5136
2019-10-28,4.384205
2019-10-29,4.249363
2019-10-30,4.1065755
2019-10-31,3.9672809
2019-11-01,3.8253126
2019-11-02,3.685026
2019-11-03,3.5490515
2019-11-04,3.4193525
2019-11-05,3.2982502
2019-11-06,3.1833143
2019-11-07,3.0856683
2019-11-08,2.9984596
2019-11-09,2.925016
2019-11-10,2.8666348
2019-11-11,2.8236842
2019-11-12,2.7966793
2019-11-13,2.7812304
2019-11-14,2.7864017
2019-11-15,2.8032455
2019-11-16,2.8330135
2019-11-17,2.8750036
2019-11-18,2.9277112
2019-11-19,2.9899523
2019-11-20,3.055849
2019-11-21,3.1332214
2019-11-22,3.2121422
2019-11-23,3.2931638
2019-11-24,3.3751693
2019-11-25,3.4565208
2019-11-26,3.5361698
2019-11-27,3.6086245
2019-11-28,3.6823165
2019-11-29,3.7481227
2019-11-30,3.8075595
2019-12-01,3.860594
2019-12-02,3.9067552
2019-12-03,3.946202
2019-12-04,3.9746554
2019-12-05,4.001728
2019-12-06,4.0194144
2019-12-07,4.030258
2019-12-08,4.035139
2019-12-09,4.0343695
2019-12-10,4.0287514
2019-12-11,4.0145044
2019-12-12,4.001594
2019-12-13,3.9822338
2019-12-14,3.9590585
2019-12-15,3.9329338
2019-12-16,3.904066
2019-12-17,3.8730867
2019-12-18,3.8359988
2019-12-19,3.802534
2019-12-20,3.7646735
2019-12-21,3.7248452
2019-12-22,3.6837509
2019-12-23,3.6414928
