Date,daily runoff
2019-01-01,1.6761363
2019-01-02,1.7050018
2019-01-03,1.7240821
2019-01-04,1.7457057
2019-01-05,1.7582794
2019-01-06,1.7704946
2019-01-07,1.7864234
2019-01-08,1.7985591
2019-01-09,1.8165317
2019-01-10,1.825009
2019-01-11,1.8362616
2019-01-12,1.8386227
2019-01-13,1.8406979
2019-01-14,1.8464648
2019-01-15,1.8483162
2019-01-16,1.855781
2019-01-17,1.8534286
2019-01-18,1.853437
2019-01-19,1.8440579
2019-01-20,1.8338292
2019-01-21,1.8266785
2019-01-22,1.814969
2019-01-23,1.8082227
2019-01-24,1.7910261
2019-01-25,1.7756013
2019-01-26,1.750269
2019-01-27,1.7236629
2019-01-28,1.6998309
2019-01-29,1.67128
2019-01-30,1.6476964
2019-01-31,1.6138492
2019-02-01,1.582156
2019-02-02,1.5411443
2019-02-03,1.4996583
2019-02-04,1.4619585
2019-02-05,1.4207587
2019-02-06,1.3859427
2019-02-07,1.3424627
2019-02-08,1.3028997
2019-02-09,1.2559209
2019-02-10,1.2104827
2019-02-11,1.1709259
2019-02-12,1.1300113
2019-02-13,1.0976341
2019-02-14,1.0587199
2019-02-15,1.0257866
2019-02-16,0.9874013
2019-02-17,0.95238507
2019-02-18,0.92491007
2019-02-19,0.897539
2019-02-20,0.8799423
2019-02-21,0.85679966
2019-02-22,0.84036624
2019-02-23,0.8189352
2019-02-24,0.80104846
2019-02-25,0.79059905
2019-02-26,0.7798773
2019-02-27,0.77829295
2019-02-28,0.77028304
2019-03-01,0.7678824
2019-03-02,0.7591912
2019-03-03,0.75258905
2019-03-04,0.75184155
2019-03-05,0.74914753
2019-03-06,0.7538635
2019-03-07,0.75041187
2019-03-08,0.75085056
2019-03-09,0.74334
2019-03-10,0.73635495
2019-03-11,0.73378754
2019-03-12,0.72799146
2019-03-13,0.7285019
2019-03-14,0.7199388
2019-03-15,0.71457165
2019-03-16,0.70078075
2019-03-17,0.6872635
2019-03-18,0.6781321
2019-03-19,0.66595256
2019-03-20,0.6604592
2019-03-21,0.6464536
2019-03-22,0.6363657
2019-03-23,0.618711
2019-03-24,0.6022949
2019-03-25,0.5913084
2019-03-26,0.5783657
2019-03-27,0.573219
2019-03-28,0.5606581
2019-03-29,0.5530722
2019-03-30,0.5389105
2019-03-31,0.52688825
2019-04-01,0.5210863
2019-04-02,0.51399255
2019-04-03,0.51522106
2019-04-04,0.5094156
2019-04-05,0.50881684
2019-04-06,0.50172603
2019-04-07,0.4967169
2019-04-08,0.49773794
2019-04-09,0.4971582
2019-04-10,0.504489
2019-04-11,0.5042904
2019-04-12,0.5087397
2019-04-13,0.5060969
2019-04-14,0.50491625
2019-04-15,0.5091491
2019-04-16,0.5111879
2019-04-17,0.52058697
2019-04-18,0.521966
2019-04-19,0.5275764
2019-04-20,0.52576333
2019-04-21,0.52517366
2019-04-22,0.52985525
2019-04-23,0.5322972
2019-04-24,0.5421463
2019-04-25,0.5441081
2019-04-26,0.55050856
2019-04-27,0.54975426
2019-04-28,0.5505371
2019-04-29,0.5569323
2019-04-30,0.5614364
2019-05-01,0.5736846
2019-05-02,0.5783501
2019-05-03,0.5877079
2019-05-04,0.5900954
2019-05-05,0.5941197
2019-05-06,0.6037579
2019-05-07,0.6113985
2019-05-08,0.6265614
2019-05-09,0.6338019
2019-05-10,0.64527786
2019-05-11,0.64921457
2019-05-12,0.6541157
2019-05-13,0.6638675
2019-05-14,0.67078364
2019-05-15,0.68432826
2019-05-16,0.68902236
2019-05-17,0.6970131
2019-05-18,0.6965396
2019-05-19,0.69614506
2019-05-20,0.69978017
2019-05-21,0.69984794
2019-05-22,0.7059242
2019-05-23,0.70266277
2019-05-24,0.70236117
2019-05-25,0.6934237
2019-05-26,0.68456936
2019-05-27,0.67993164
2019-05-28,0.67209834
2019-05-29,0.6708284
2019-05-30,0.6609523
2019-05-31,0.65493387
2019-06-01,0.6413291
2019-06-02,0.628991
2019-06-03,0.622166
2019-06-04,0.6135314
2019-06-05,0.612911
2019-06-06,0.60517347
2019-06-07,0.6027945
2019-06-08,0.594316
2019-06-09,0.5885517
2019-06-10,0.58968544
2019-06-11,0.59031147
2019-06-12,0.6001522
2019-06-13,0.6039609
2019-06-14,0.61408675
2019-06-15,0.61893874
2019-06-16,0.6271945
2019-06-17,0.64290327
2019-06-18,0.6585296
2019-06-19,0.6836748
2019-06-20,0.70298266
2019-06-21,0.7287072
2019-06-22,0.74917805
2019-06-23,0.7730112
2019-06-24,0.8042122
2019-06-25,0.8352197
2019-06-26,0.8756257
2019-06-27,0.91007984
2019-06-28,0.9508546
2019-06-29,0.98630774
2019-06-30,1.0250894
2019-07-01,1.0712411
2019-07-02,1.1172353
2019-07-03,1.1726916
2019-07-04,1.2222753
2019-07-05,1.2782596
2019-07-06,1.3289837
2019-07-07,1.3830556
2019-07-08,1.4444492
2019-07-09,1.5055412
2019-07-10,1.5758255
2019-07-11,1.6398119
2019-07-12,1.7095884
2019-07-13,1.7732806
2019-07-14,1.8392578
2019-07-15,1.911233
2019-07-16,1.9813038
2019-07-17,2.0586736
2019-07-18,2.127555
2019-07-19,2.1997397
2019-07-20,2.2630649
2019-07-21,2.3256276
2019-07-22,2.3908906
2019-07-23,2.450733
2019-07-24,2.5141778
2019-07-25,2.5653024
2019-07-26,2.615815
2019-07-27,2.653525
2019-07-28,2.6865647
2019-07-29,2.7184951
2019-07-30,2.741361
2019-07-31,2.7644165
2019-08-01,2.7720382
2019-08-02,2.7762954
2019-08-03,2.765421
2019-08-04,2.7480214
2019-08-05,2.7281837
2019-08-06,2.6985173
2019-08-07,2.6688728
2019-08-08,2.6242445
2019-08-09,2.57733
2019-08-10,2.516991
2019-08-11,2.4524515
2019-08-12,2.3883927
2019-08-13,2.3179846
2019-08-14,2.251594
2019-08-15,2.1746757
2019-08-16,2.100326
2019-08-17,2.0177314
2019-08-18,1.9363642
2019-08-19,1.8610694
2019-08-20,1.7850938
2019-08-21,1.7187923
2019-08-22,1.6475188
2019-08-23,1.5841801
2019-08-24,1.5176902
2019-08-25,1.4571683
2019-08-26,1.407034
2019-08-27,1.3600435
2019-08-28,1.3260047
2019-08-29,1.2896792
2019-08-30,1.2633471
2019-08-31,1.2352716
2019-09-01,1.2139108
2019-09-02,1.2030246
2019-09-03,1.194722
2019-09-04,1.1981893
2019-09-05,1.1976007
2019-09-06,1.2046967
2019-09-07,1.2072544
2019-09-08,1.2133105
2019-09-09,1.2262709
2019-09-10,1.237967
2019-09-11,1.2573843
2019-09-12,1.2685775
2019-09-13,1.2832464
2019-09-14,1.2892079
2019-09-15,1.2946132
2019-09-16,1.303056
2019-09-17,1.3066202
2019-09-18,1.3146046
2019-09-19,1.3114284
2019-09-20,1.309199
2019-09-21,1.2961745
2019-09-22,1.2809719
2019-09-23,1.2676648
2019-09-24,1.2488219
2019-09-25,1.2342211
2019-09-26,1.2087469
2019-09-27,1.1849484
2019-09-28,1.1514956
2019-09-29,1.1173781
2019-09-30,1.0869995
2019-10-01,1.0532091
2019-10-02,1.0260129
2019-10-03,0.99046844
2019-10-04,0.959242
2019-10-05,0.92106324
2019-10-06,0.884927
2019-10-07,0.8551876
2019-10-08,0.8245952
2019-10-09,0.8030104
2019-10-10,0.77530324
2019-10-11,0.75391644
2019-10-12,0.7273257
2019-10-13,0.7042477
2019-10-14,0.68874115
2019-10-15,0.6732494
2019-10-16,0.6673217
2019-10-17,0.65551853
2019-10-18,0.6499809
2019-10-19,0.63889617
2019-10-20,0.6307113
2019-10-21,0.6292381
2019-10-22,0.6267003
2019-10-23,0.63245726
2019-10-24,0.6309128
2019-10-25,0.63408524
2019-10-26,0.630075
2019-10-27,0.62727803
2019-10-28,0.6294905
2019-10-29,0.6289553
2019-10-30,0.63508433
2019-10-31,0.63236463
2019-11-01,0.6329268
2019-11-02,0.62500924
2019-11-03,0.61716837
2019-11-04,0.6133802
2019-11-05,0.60608315
2019-11-06,0.60489637
2019-11-07,0.5945225
2019-11-08,0.5873118
2019-11-09,0.5717235
2019-11-10,0.5565319
2019-11-11,0.5459246
2019-11-12,0.53254217
2019-11-13,0.5261937
2019-11-14,0.5117565
2019-11-15,0.5017382
2019-11-16,0.48473546
2019-11-17,0.4696388
2019-11-18,0.46072894
2019-11-19,0.45071536
2019-11-20,0.4494512
2019-11-21,0.4418322
2019-11-22,0.44035897
2019-11-23,0.4335953
2019-11-24,0.43037403
2019-11-25,0.43489403
2019-11-26,0.4397598
2019-11-27,0.45469773
2019-11-28,0.46445715
2019-11-29,0.48137406
2019-11-30,0.4938323
2019-12-01,0.51047117
2019-12-02,0.5352859
2019-12-03,0.5606693
2019-12-04,0.5961318
2019-12-05,0.6262051
2019-12-06,0.66300905
2019-12-07,0.6947161
2019-12-08,0.72976243
2019-12-09,0.77195066
2019-12-10,0.813495
2019-12-11,0.8637438
2019-12-12,0.90708554
2019-12-13,0.95551807
2019-12-14,0.99711496
2019-12-15,1.0402373
2019-12-16,1.0886383
2019-12-17,1.1345087
2019-12-18,1.1871992
2019-12-19,1.2311261
2019-12-20,1.2783394
2019-12-21,1.3169885
2019-12-22,1.3555315
2019-12-23,1.3978374
2019-12-24,1.4362296
2019-12-25,1.4802041
2019-12-26,1.5143332
