Date,weekly runoff
2019-01-01,10.935099
2019-01-02,11.127548
2019-01-03,11.308209
2019-01-04,11.481182
2019-01-05,11.643133
2019-01-06,11.795285
2019-01-07,11.939065
2019-01-08,12.0566025
2019-01-09,12.176013
2019-01-10,12.285221
2019-01-11,12.388159
2019-01-12,12.481205
2019-01-13,12.565182
2019-01-14,12.641029
2019-01-15,12.690308
2019-01-16,12.740519
2019-01-17,12.778937
2019-01-18,12.808849
2019-01-19,12.826004
2019-01-20,12.830645
2019-01-21,12.823197
2019-01-22,12.784816
2019-01-23,12.742699
2019-01-24,12.68396
2019-01-25,12.611873
2019-01-26,12.522335
2019-01-27,12.415908
2019-01-28,12.293512
2019-01-29,12.136958
2019-01-30,11.974276
2019-01-31,11.793557
2019-02-01,11.599194
2019-02-02,11.388319
2019-02-03,11.162832
2019-02-04,10.925051
2019-02-05,10.658229
2019-02-06,10.391844
2019-02-07,10.115414
2019-02-08,9.834698
2019-02-09,9.548109
2019-02-10,9.2586975
2019-02-11,8.96979
2019-02-12,8.665466
2019-02-13,8.375831
2019-02-14,8.090807
2019-02-15,7.816328
2019-02-16,7.550735
2019-02-17,7.29676
2019-02-18,7.0571637
2019-02-19,6.815223
2019-02-20,6.6000166
2019-02-21,6.4002314
2019-02-22,6.220378
2019-02-23,6.0572224
2019-02-24,5.9117937
2019-02-25,5.7850595
2019-02-26,5.658447
2019-02-27,5.559167
2019-02-28,5.474064
2019-03-01,5.405863
2019-03-02,5.34964
2019-03-03,5.304865
2019-03-04,5.2711077
2019-03-05,5.2285876
2019-03-06,5.203519
2019-03-07,5.18198
2019-03-08,5.1661735
2019-03-09,5.1509013
2019-03-10,5.1356106
2019-03-11,5.120095
2019-03-12,5.0850315
2019-03-13,5.057314
2019-03-14,5.023897
2019-03-15,4.988034
2019-03-16,4.945721
2019-03-17,4.8977156
2019-03-18,4.8451967
2019-03-19,4.7702737
2019-03-20,4.7012777
2019-03-21,4.6265783
2019-03-22,4.5507803
2019-03-23,4.4711423
2019-03-24,4.3895645
2019-03-25,4.3082247
2019-03-26,4.2100687
2019-03-27,4.124086
2019-03-28,4.039113
2019-03-29,3.9600306
2019-03-30,3.8841794
2019-03-31,3.8133516
2019-04-01,3.749443
2019-04-02,3.6749518
2019-04-03,3.618277
2019-04-04,3.567544
2019-04-05,3.5268238
2019-04-06,3.4925795
2019-04-07,3.465683
2019-04-08,3.4470959
2019-04-09,3.4183984
2019-04-10,3.4071107
2019-04-11,3.4005442
2019-04-12,3.4020448
2019-04-13,3.4074543
2019-04-14,3.4171436
2019-04-15,3.4317036
2019-04-16,3.432479
2019-04-17,3.4468935
2019-04-18,3.4622965
2019-04-19,3.4821992
2019-04-20,3.502724
2019-04-21,3.5246243
2019-04-22,3.5489573
2019-04-23,3.5575957
2019-04-24,3.578532
2019-04-25,3.599702
2019-04-26,3.6251957
2019-04-27,3.6516862
2019-04-28,3.680426
2019-04-29,3.7128978
2019-04-30,3.7313125
2019-05-01,3.7638967
2019-05-02,3.7987056
2019-05-03,3.8398275
2019-05-04,3.8838096
2019-05-05,3.931655
2019-05-06,3.9844818
2019-05-07,4.024029
2019-05-08,4.0779552
2019-05-09,4.133676
2019-05-10,4.19458
2019-05-11,4.256482
2019-05-12,4.3196425
2019-05-13,4.3844523
2019-05-14,4.4319606
2019-05-15,4.489204
2019-05-16,4.5430574
2019-05-17,4.5964823
2019-05-18,4.6449885
2019-05-19,4.688675
2019-05-20,4.7279215
2019-05-21,4.7439265
2019-05-22,4.7640357
2019-05-23,4.7755957
2019-05-24,4.78219
2019-05-25,4.780094
2019-05-26,4.7703013
2019-05-27,4.754192
2019-05-28,4.714054
2019-05-29,4.6783857
2019-05-30,4.635721
2019-05-31,4.590842
2019-06-01,4.541203
2019-06-02,4.488929
2019-06-03,4.436462
2019-06-04,4.3670545
2019-06-05,4.310052
2019-06-06,4.2546988
2019-06-07,4.2063365
2019-06-08,4.1628194
2019-06-09,4.126504
2019-06-10,4.0998964
2019-06-11,4.066148
2019-06-12,4.054345
2019-06-13,4.053329
2019-06-14,4.0679073
2019-06-15,4.095291
2019-06-16,4.1371026
2019-06-17,4.195051
2019-06-18,4.2514486
2019-06-19,4.334527
2019-06-20,4.432283
2019-06-21,4.5487127
2019-06-22,4.680269
2019-06-23,4.82789
2019-06-24,4.9926887
2019-06-25,5.15648
2019-06-26,5.347106
2019-06-27,5.5522833
2019-06-28,5.7758317
2019-06-29,6.0141296
2019-06-30,6.2681284
2019-07-01,6.539023
2019-07-02,6.808764
2019-07-03,7.105358
2019-07-04,7.416687
2019-07-05,7.7467136
2019-07-06,8.091907
2019-07-07,8.453228
2019-07-08,8.831777
2019-07-09,9.209275
2019-07-10,9.613352
2019-07-11,10.031339
2019-07-12,10.466466
2019-07-13,10.914279
2019-07-14,11.374629
2019-07-15,11.847311
2019-07-16,12.312576
2019-07-17,12.796415
2019-07-18,13.284397
2019-07-19,13.777884
2019-07-20,14.270485
2019-07-21,14.760084
2019-07-22,15.244541
2019-07-23,15.702224
2019-07-24,16.157364
2019-07-25,16.593927
2019-07-26,17.0119
2019-07-27,17.403765
2019-07-28,17.766598
2019-07-29,18.097782
2019-07-30,18.3756
2019-07-31,18.624605
2019-08-01,18.829508
2019-08-02,18.991472
2019-08-03,19.104618
2019-08-04,19.16807
2019-08-05,19.181698
2019-08-06,19.126648
2019-08-07,19.030693
2019-08-08,18.882088
2019-08-09,18.685793
2019-08-10,18.439922
2019-08-11,18.147741
2019-08-12,17.813313
2019-08-13,17.421988
2019-08-14,17.005651
2019-08-15,16.556519
2019-08-16,16.083286
2019-08-17,15.5875
2019-08-18,15.075495
2019-08-19,14.5539875
2019-08-20,14.010495
2019-08-21,13.478558
2019-08-22,12.9514885
2019-08-23,12.438504
2019-08-24,11.941082
2019-08-25,11.464897
2019-08-26,11.015419
2019-08-27,10.578361
2019-08-28,10.184928
2019-08-29,9.825614
2019-08-30,9.506372
2019-08-31,9.225049
2019-09-01,8.983376
2019-09-02,8.7826395
2019-09-03,8.604212
2019-09-04,8.474879
2019-09-05,8.380706
2019-09-06,8.323308
2019-09-07,8.296338
2019-09-08,8.29757
2019-09-09,8.324632
2019-09-10,8.355592
2019-09-11,8.414345
2019-09-12,8.484528
2019-09-13,8.565814
2019-09-14,8.650437
2019-09-15,8.735286
2019-09-16,8.817631
2019-09-17,8.875722
2019-09-18,8.934145
2019-09-19,8.9777155
2019-09-20,9.007733
2019-09-21,9.018471
2019-09-22,9.009207
2019-09-23,8.97991
2019-09-24,8.911763
2019-09-25,8.832466
2019-09-26,8.730053
2019-09-27,8.609095
2019-09-28,8.467111
2019-09-29,8.306544
2019-09-30,8.130391
2019-10-01,7.922662
2019-10-02,7.7136397
2019-10-03,7.4936576
2019-10-04,7.269263
2019-10-05,7.0396004
2019-10-06,6.808371
2019-10-07,6.579446
2019-10-08,6.3373275
2019-10-09,6.11241
2019-10-10,5.8947687
2019-10-11,5.6903434
2019-10-12,5.497347
2019-10-13,5.3182526
2019-10-14,5.155445
2019-10-15,4.99172
2019-10-16,4.855589
2019-10-17,4.735108
2019-10-18,4.6341095
2019-10-19,4.5486565
2019-10-20,4.479072
2019-10-21,4.425635
2019-10-22,4.3691163
2019-10-23,4.336125
2019-10-24,4.312968
2019-10-25,4.301911
2019-10-26,4.297657
2019-10-27,4.299398
2019-10-28,4.3065186
2019-10-29,4.2991514
2019-10-30,4.303519
2019-10-31,4.3057966
2019-11-01,4.30837
2019-11-02,4.3063016
2019-11-03,4.299367
2019-11-04,4.2877464
2019-11-05,4.2525587
2019-11-06,4.2211747
2019-11-07,4.181065
2019-11-08,4.136022
2019-11-09,4.0826025
2019-11-10,4.022137
2019-11-11,3.956393
2019-11-12,3.8680751
2019-11-13,3.7861204
2019-11-14,3.6995125
2019-11-15,3.6134822
2019-11-16,3.5259297
2019-11-17,3.4394083
2019-11-18,3.356772
2019-11-19,3.2616608
2019-11-20,3.1837823
2019-11-21,3.112713
2019-11-22,3.0540957
2019-11-23,3.006052
2019-11-24,2.9711688
2019-11-25,2.9521437
2019-11-26,2.9322753
2019-11-27,2.94075
2019-11-28,2.9664545
2019-11-29,3.0141814
2019-11-30,3.0810578
2019-12-01,3.1685457
2019-12-02,3.2781057
2019-12-03,3.3917055
2019-12-04,3.537127
2019-12-05,3.701801
2019-12-06,3.889033
2019-12-07,4.0944557
2019-12-08,4.318051
2019-12-09,4.559836
2019-12-10,4.800394
2019-12-11,5.0662007
2019-12-12,5.3434777
2019-12-13,5.634439
2019-12-14,5.933756
2019-12-15,6.2405953
2019-12-16,6.554312
2019-12-17,6.854994
2019-12-18,7.168788
2019-12-19,7.481761
2019-12-20,7.79614
2019-12-21,8.106777
2019-12-22,8.413177
2019-12-23,8.715185
2019-12-24,8.99351
2019-12-25,9.275044
2019-12-26,9.546698
